,time,users,sessions,newusers,crashes
138,2018-12-28 03:00:00,80,65,5,1
139,2018-12-28 04:00:00,61,58,5,0
140,2018-12-28 05:00:00,53,48,3,1
141,2018-12-28 06:00:00,50,45,4,4
142,2018-12-28 07:00:00,50,43,6,0
143,2018-12-28 08:00:00,63,57,10,0
144,2018-12-28 09:00:00,67,63,15,0
145,2018-12-28 10:00:00,72,57,12,0
146,2018-12-28 11:00:00,86,77,11,0
147,2018-12-28 12:00:00,82,69,10,0
148,2018-12-28 13:00:00,76,68,6,0
149,2018-12-28 14:00:00,103,112,13,1
150,2018-12-28 15:00:00,110,115,8,0
151,2018-12-28 16:00:00,141,132,17,0
152,2018-12-28 17:00:00,126,111,10,1
153,2018-12-28 18:00:00,130,125,17,1
154,2018-12-28 19:00:00,114,105,7,0
155,2018-12-28 20:00:00,114,110,17,1
156,2018-12-28 21:00:00,112,117,16,0
157,2018-12-28 22:00:00,102,90,12,0
158,2018-12-28 23:00:00,103,88,9,0
159,2018-12-29 00:00:00,99,87,9,2
160,2018-12-29 01:00:00,91,68,4,0
161,2018-12-29 02:00:00,87,75,6,0
162,2018-12-29 03:00:00,73,66,9,0
163,2018-12-29 04:00:00,57,45,5,0
164,2018-12-29 05:00:00,40,34,6,0
165,2018-12-29 06:00:00,48,41,8,0
166,2018-12-29 07:00:00,44,37,3,0
167,2018-12-29 08:00:00,38,40,1,0
168,2018-12-29 09:00:00,18,8,1,0
